Event ID,Player,Minute,Second,X,Y,Type,Outcome,endX,endY,isGoal,isAssist,Set Piece,Left,Center,Right,Competition,Opposition,isTop6
134,346300,6,57,64.6,6.6,TakeOn,Pos,-1,-1,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
135,346300,6,58,73,13.2,Pass,Pos,67.1,31.9,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
138,346300,7,8,72.8,52.2,SavedShot,Pos,-1,-1,Blank,Blank,Blank,Blank,Yes,Blank,CL,Lazio,Yes
147,346300,7,24,98.5,23.9,Pass,Neg,97.7,27.4,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
155,346300,7,37,71.3,16.4,BallRecovery,Pos,-1,-1,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
156,346300,7,37,71.3,16.4,Pass,Pos,65.1,15.2,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
189,346300,9,20,65.8,37,Pass,Pos,70.5,7.6,Blank,Blank,Blank,Blank,Yes,Blank,CL,Lazio,Yes
203,346300,10,7,88.2,6.8,Pass,Pos,97.3,24.3,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
208,346300,11,1,99.5,0.5,Pass,Pos,92.7,41.5,Blank,Blank,Corner,Blank,Blank,Yes,CL,Lazio,Yes
212,346300,11,4,96.9,42.8,CornerAwarded,Neutral,-1,-1,Blank,Blank,Blank,Blank,Yes,Blank,CL,Lazio,Yes
213,346300,11,24,99.5,0.5,Pass,Neg,89,49.3,Blank,Blank,Corner,Blank,Blank,Yes,CL,Lazio,Yes
246,346300,12,56,29.6,38.2,BallTouch,Neg,-1,-1,Blank,Blank,Blank,Blank,Yes,Blank,CL,Lazio,Yes
323,346300,16,44,98.1,5.9,Pass,Pos,86.8,8.6,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
354,346300,17,46,30.9,26.9,TakeOn,Neg,-1,-1,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
356,346300,17,46,30.3,24.2,BallTouch,Neutral,-1,-1,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
400,346300,19,38,71.5,4,Pass,Pos,73.7,8.8,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
403,346300,19,45,74.9,23.9,Pass,Pos,69.4,13.7,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
516,346300,26,14,64.3,6.2,Pass,Neg,62.4,10.6,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
521,346300,26,21,74.3,24.6,Pass,Pos,71.5,33.4,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
532,346300,26,33,87.4,25.2,Pass,Neg,85.7,27.1,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
566,346300,28,29,70.3,14.6,Pass,Pos,62.3,32.2,Blank,Blank,Blank,Blank,Blank,Yes,CL,Lazio,Yes
583,346300,29,46,71.9,84.8,Pass,Pos,67.2,71.7,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
587,346300,29,58,72.4,92.4,Pass,Pos,68.3,81.4,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
612,346300,30,56,59.4,96.8,Pass,Pos,56,87.7,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
634,346300,32,5,63.8,92.1,Pass,Pos,65.4,82.3,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
650,346300,32,57,72,94.5,Pass,Pos,68.4,79,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
736,346300,38,53,34.2,96,Interception,Pos,-1,-1,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
754,346300,39,41,70.1,74.4,Pass,Pos,67.9,88.6,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
756,346300,39,44,68.2,75.8,Pass,Neg,73.2,77.7,Blank,Blank,Blank,Yes,Blank,Blank,CL,Lazio,Yes
